cnpj;ticker;denominacao;gestor;segmento_b3;classificacao_scout;observacoes
63001985000190;;NU CDI TESOURO SELIC B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
62344693000197;;NU IBOXX HIGH YIELD HEDGE CARRY BRL CLASSE  DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;ETF-RF;Renda Fixa;
62344793000113;;NU IBOXX INVESTMENT GRADE HEDGE CARRY BRL  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;ETF-RF;Renda Fixa;
63734820000127;;NU LETRAS FINANCEIRAS ANBIMA CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;ETF-RF;Renda Fixa;
66232321000120;;NU TESOURO IPCA B3 PRAZO 10 ANOS CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;;Renda Fixa;sinais no nome: Renda Fixa + Commodities
67656259000166;;NU TESOURO IPCA B3 PRAZO 2 ANOS CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
67656167000186;;NU TESOURO IPCA B3 PRAZO 5 ANOS CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU ASSET MANAGEMENT LTDA;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
55019744000140;;ORYX BLOOMBERG U.S. CONVERTIBLES LIQUID BOND INDEX FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ORYX CAPITAL GESTÃO DE RECURSOS LTDA.;;Renda Fixa;
58312917000101;;PHRONESIS TEVA IPCA DYNAMIC SELECTION YIELD FUNDO DE ÍNDICE;PHRONESIS INVESTIMENTOS LTDA.;ETF-RF;Renda Fixa;
65573794000128;;TREND ETF B3 TESOURO SELIC CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
64802589000124;;TREND ETF IDEX B30 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
63698833000198;;TREND ETF IDEX B35 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
64802257000140;;TREND ETF IDEX B45 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
63698764000112;;TREND ETF IDEX B50 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
64815662000100;;TREND ETF IDEX B60 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
65594290000194;;TREND ETF IRF-M P2 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
65573738000193;;TREND ETF TEVA ITBR SELIC TARGET 760 CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;XP ALLOCATION ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
